:START_ID,:END_ID,name,:TYPE
e52583,e52583,中文名,中文名
e52583,e44220,国籍,国籍
e52583,e13590,民族,民族
e18012,e18012,中文名,中文名
e52583,e43657,性别,性别
e48356,e52929,时间,时间
e48356,e41194,位置,位置
e48356,e52570,特点,特点
e48356,e48356,中文名,中文名
e30273,e30273,中文名,中文名
e30273,e19056,别名,别名
e30273,e31582,民族,民族
e30273,e32797,逝世日期,逝世日期
e30273,e33512,出生地,出生地
e30273,e51419,职业,职业
e30273,e53117,主要成就,主要成就
e30273,e18823,官职,官职
e30273,e24367,追赠,追赠
e30273,e27001,谥号,谥号
e39894,e39894,中文名,中文名
e39894,e43043,国籍,国籍
e39894,e28005,民族,民族
e39894,e51419,职业,职业
e39894,e8008,主要成就,主要成就
e39894,e2576,美誉,美誉
e30273,e26152,国籍,国籍
e41315,e41315,中文名,中文名
e41315,e41315,中文名,中文名
e46020,e46020,中文名,中文名
e46020,e31582,民族,民族
e46020,e42421,籍\u3000\u3000贯,籍\u3000\u3000贯
e46020,e35812,出生日期,出生日期
e10759,e10759,中文名,中文名
e10759,e31582,民族,民族
e10759,e6573,毕业院校,毕业院校
e10759,e39021,职业,职业
e10759,e34506,出生地,出生地
e48155,e48155,中文名,中文名
e48155,e2124,采用,采用
e48155,e47017,分类,分类
e48155,e3036,制导系统,制导系统
e10759,e13224,出生日期,出生日期
e22239,e22239,名称,名称
e22239,e19692,发生时间,发生时间
e22239,e14346,地点,地点
e22239,e38768,结果,结果
e22239,e16943,伤亡情况,伤亡情况
e22239,e8432,主要指挥官,主要指挥官
e22239,e20519,参战方,参战方
e15441,e15441,中文名,中文名
e15441,e44220,国籍,国籍
e15441,e13590,民族,民族
e15441,e44220,出生地,出生地
e49214,e49214,中文名,中文名
e49214,e44263,别名,别名
e49214,e44220,国籍,国籍
e43387,e43387,中文名,中文名
e43387,e27803,适用职业,适用职业
e43387,e41549,装备分类,装备分类
e43387,e42298,稀有度,稀有度
e43387,e8584,外文名,外文名
e5016,e5016,中文名,中文名
e5016,e6749,外文名,外文名
e5016,e44583,国家,国家
e5016,e34134,类别,类别
e5016,e32160,用户,用户
e5016,e43812,舰员,舰员
e5016,e47309,服役时间,服役时间
e10650,e10650,中文名,中文名
e10650,e3948,外文名,外文名
e10650,e11772,作用,作用
e10650,e6984,对象,对象
e36063,e36063,中文名,中文名
e36063,e35211,逝世日期,逝世日期
e36063,e1004,生前职务,生前职务
e36063,e5054,参加革命时间,参加革命时间
e25209,e25209,中文名,中文名
e25209,e44220,民族,民族
e25209,e15370,逝世日期,逝世日期
e35956,e35956,中文名,中文名
e35956,e48844,出生日期,出生日期
e35956,e27475,出生地,出生地
e35956,e7686,逝世日期,逝世日期
e20831,e20831,中文名,中文名
e20831,e23458,外文名,外文名
e20831,e51947,游戏类型,游戏类型
e28067,e28067,中文名,中文名
e28067,e35453,类型,类型
e28067,e21248,特点,特点
e28067,e27205,用途,用途
e25345,e25345,中文名,中文名
e25345,e5170,外文名,外文名
e25345,e9245,简介,简介
e25345,e40708,成立时间,成立时间
e33401,e1779,中文名称,中文名称
e33401,e23362,英文名称,英文名称
e10603,e10603,中文名,中文名
e10603,e12045,进攻方人物,进攻方人物
e10603,e43685,地区,地区
e10603,e10058,防守方人物,防守方人物
e10603,e12464,性质,性质
e10603,e10603,中文名,中文名
e10603,e12464,性质,性质
e10603,e43685,地区,地区
e10603,e10058,防守方人物,防守方人物
e10603,e12045,进攻方人物,进攻方人物
e10603,e10603,中文名,中文名
e10603,e12464,性质,性质
e10603,e10058,防守方人物,防守方人物
e10603,e43685,地区,地区
e10603,e12045,进攻方人物,进攻方人物
e33809,e33809,中文名,中文名
e33809,e47231,外文名,外文名
e33809,e45960,别名,别名
e33809,e45960,角色,角色
e33809,e17681,开发商,开发商
e33809,e27843,船体,船体
e1343,e1343,中文名,中文名
e1343,e45077,外文名,外文名
e1343,e21242,阵亡人数,阵亡人数
e33809,e33809,中文名,中文名
e33809,e47231,外文名,外文名
e33809,e45960,别名,别名
e33809,e27843,船体,船体
e33809,e45960,角色,角色
e33809,e17681,开发商,开发商
e38343,e38343,中文名,中文名
